"","house_code","long","lat","kandida","kater","kawegi","near_kibuon_maranatha_church","near_munyu_maranatha_church","near_umbolwanda","shirikisho_church","unassessed","number_of_people","bondo_a_well_ewb_hope_college","bondo_concrete_water_tank","bondo_kokumu_well","bondo_water_kiosk","hand_dug_deep_well","kandwat","kapaul","kibuon_spring","koyanda","lela_b_well_ewb_oregon_state_sf_professional","lela_c","munyu_river","new_source","nyamilo_water_project_well","ogwedhi","ogwedhi_water_project","old_hand_dug_well","riamanyama","wadhanyim","wiyao_water_point","estimate"
"92","B40*",34.403574205935,-1.07924333490302,2209.53264064,1300.22136934,264.202741869,1416.43863647,173.75083092,1639.1566362,2029.74132706,1305.14462075,10,3938.43472678,3190.85319699,2515.97308936,2260.3710315,1538.89129513,1322.08484252,1414.09058256,1167.91320345,962.256220304,4423.24729993,3848.19976206,1220.1241191,1074.71941916,1772.12171204,486.686534261,2522.07488906,1522.85910306,1948.46081263,642.72778016,2295.40760808,191.178683691917
"93","B41",34.4040834903717,-1.08212284455603,2034.48752392,1164.71624021,558.584139774,1387.46992765,174.939665902,1373.28374631,1880.55522716,1274.42229893,7,3772.98400849,2919.56497039,2208.15784303,1957.98009718,1628.78627654,1142.68259716,1231.10566642,1000.0193036,795.726376483,4126.86512605,3536.99420042,1001.84163352,1250.03763418,1754.58545131,810.963016587,2415.80651057,1336.75817344,1709.45799918,678.909563754,2053.81218698,146.454746819981
"94","B42",34.4036204740405,-1.08225659586934,1985.16534914,1112.25304199,551.241131928,1334.38365233,205.034581061,1335.95504384,1829.35493937,1221.37407044,21,3723.50031181,2884.51044734,2185.03243959,1932.29060405,1581.55064351,1092.77131344,1181.63724979,948.999093769,744.12637285,4099.2970791,3515.81918917,1042.46263502,1212.90774508,1701.58168095,815.36306282,2362.95806644,1287.71751087,1667.35470766,631.383025325,2012.42405539,355.166452222349
"95","B43*",34.4032154604793,-1.08240308539621,1940.10216053,1064.88507902,552.188652656,1287.5357964,240.97656396,1301.27818469,1782.85352493,1174.58608865,7,3678.24184078,2851.31475678,2162.43872321,1907.54479517,1541.33295217,1047.35292953,1136.56010687,902.72104743,697.436704641,4072.42467435,3494.60351605,1077.69761792,1183.2349193,1654.83346321,825.32101599,2315.32690939,1242.96793474,1628.3627377,591.499471798,1973.954701,146.454746819981
"96","B44",34.401383176446,-1.08317676451907,1729.83681544,845.086292542,618.054871564,1075.66387122,441.436883972,1144.53367829,1566.33605652,963.356517418,5,3466.41376767,2695.07418515,2058.67880032,1794.95410136,1369.5389986,836.838314684,927.502434132,688.236546048,481.441765508,3943.72272016,3393.06812149,1244.49112661,1073.98298959,1443.18126601,913.554169685,2094.52178502,1035.24716308,1447.83107863,438.478081444,1794.77445319,116.638788905357
"97","B45",34.4017435982823,-1.08369702004002,1722.28635263,853.812248691,674.017312059,1112.57937137,454.413381043,1103.79098919,1567.05811882,1001.28543473,9,3460.52842385,2655.46870351,2003.01105112,1741.17188374,1426.83558691,829.734983563,918.738746334,686.491935621,482.763221771,3895.26653516,3337.51373265,1191.95237181,1142.71615161,1479.49050716,967.102963475,2106.15834454,1025.07659834,1418.49247244,504.300361712,1764.96914055,176.270704734605
"98","B45",34.4017435982823,-1.08369702004002,1722.28635263,853.812248691,674.017312059,1112.57937137,454.413381043,1103.79098919,1567.05811882,1001.28543473,9,3460.52842385,2655.46870351,2003.01105112,1741.17188374,1426.83558691,829.734983563,918.738746334,686.491935621,482.763221771,3895.26653516,3337.51373265,1191.95237181,1142.71615161,1479.49050716,967.102963475,2106.15834454,1025.07659834,1418.49247244,504.300361712,1764.96914055,176.270704734605
"99","B45",34.4017435982823,-1.08369702004002,1722.28635263,853.812248691,674.017312059,1112.57937137,454.413381043,1103.79098919,1567.05811882,1001.28543473,9,3460.52842385,2655.46870351,2003.01105112,1741.17188374,1426.83558691,829.734983563,918.738746334,686.491935621,482.763221771,3895.26653516,3337.51373265,1191.95237181,1142.71615161,1479.49050716,967.102963475,2106.15834454,1025.07659834,1418.49247244,504.300361712,1764.96914055,176.270704734605
"100","B45",34.4017435982823,-1.08369702004002,1722.28635263,853.812248691,674.017312059,1112.57937137,454.413381043,1103.79098919,1567.05811882,1001.28543473,9,3460.52842385,2655.46870351,2003.01105112,1741.17188374,1426.83558691,829.734983563,918.738746334,686.491935621,482.763221771,3895.26653516,3337.51373265,1191.95237181,1142.71615161,1479.49050716,967.102963475,2106.15834454,1025.07659834,1418.49247244,504.300361712,1764.96914055,176.270704734605
"101","B46",34.4021167606115,-1.08329811278646,1782.55641146,910.526855819,630.441836949,1156.03150484,393.764086023,1160.43988039,1626.03433017,1043.99744325,16,3520.68301056,2712.09900533,2050.26121349,1790.11530513,1451.12102791,889.798582088,979.02024453,745.631852536,541.004757262,3947.48364338,3384.5596457,1162.20213778,1144.11523814,1523.44517478,920.496838624,2162.3267858,1085.51311075,1478.1270979,515.287062853,1824.45737817,280.626557435789
